"emy-trex-name","Tyrannosaurus rex"
"it-trexTooth-name","Diente de tiranosaurio rex"
"it-trexTooth","El diente de un tyrannosaurus rex. Tiene muchísimo valor."
"zn-trex-name","Tyrannosaurus rex"
"evt-harbor-quest-trex-fail","$name estalló en [ira|rabia|furia]. Más tarde descubrimos que [se había desahogado con sus colegas|había estado quejándose ruidosamente toda la noche|había sido visto vociferando a altas horas de la noche] acerca de nuestra incompetencia y falta de confiabilidad. Nuestra reputación tardaría en recuperarse de este duro golpe."
"evt-harbor-quest-trex-fail-action","No entregar el diente"
"evt-harbor-quest-trex-complete-action","Entregar el diente"
"evt-harbor-quest-trex-complete","Cuando nuestro navío se disponía a atracar, el cazador que nos habló acerca del lagarto gigante nos saludó desde el muelle. Me preguntó si teníamos pruebas de haber matado a la bestia y si estábamos dispuestos a compartirlas con él."
"evt-harbor-quest-trex-complete-1","$name nos lo agradeció [un millar de veces|infinitamente]. Como retribución por nuestro trabajo se ofreció a financiar parte de nuestra próxima expedición, cosa que yo acepté con sumo gusto."
"evt-harbor-quest-trex-complete-report","$name nos lo agradeció [un millar de veces|infinitamente]. Como retribución por nuestro trabajo se ofreció a financiar parte de nuestra próxima expedición, cosa que yo acepté con sumo gusto."
"evt-trex-hunt-quest","Se me acercó un cazador que me contó unas historias acerca de un lagarto gigantesco que habitaba las tierras salvajes a las que yo me dirigía. Me pidió que, si nos topábamos con dicha criatura, le trajésemos uno de sus enormes dientes."
"evt-trex-hunt-accept","Acepté el encargo, aunque tenía mis recelos de enfrentarme con un adversario tan terrible."
"evt-trex-hunt-refuse","Estimé que no era sensato medir nuestras fuerzas con un enemigo de tal envergadura. El cazador se marchó con un visible gesto de decepción en su rostro."
"trex-mod-desc","Este mod añade al tiranosaurio rex y toda una serie de encargos relacionados."
