"emy-trex-name","Tyrannosaurus Rex "
"it-trexTooth-name","Dente del T-Rex"
"it-trexTooth","Il dente di un Tyrannosaurus rex. Di grande valore."
"zn-trex-name","T-Rex"
"evt-harbor-quest-trex-fail","$name è scappato via [con rabbia|in collera|rabbiosamente]. Più tardi scoprimmo che [$he si era sfogato con i suoi colleghi|$he si era lamentato rumorosamente quella notte | $he è stato sentito urlare certamente fino a tarda notte] riguardo la nostra incompetenza e mancanza di affidabilità. La nostra reputazione non si riprenderà presto."
"evt-harbor-quest-trex-fail-action","Non dare un dente"
"evt-harbor-quest-trex-complete-action","Consegnalo"
"evt-harbor-quest-trex-complete","Mentre ci stavamo preparando per partire, il cacciatore che si avvicinò a noi a proposito della lucertola gigante prima del nostro ultimo viaggio, mi stava salutando dal molo. Egli chiese se eravamo riusciti a ottenere delle prove e se eravamo disposti a condividerne alcune con lui."
"evt-harbor-quest-trex-complete-1","$name ci ringraziò [senza fine | infinitamente]. Nella sua gratitudine si è offerto di finanziare parte della nostra prossima spedizione, che ho accettato volentieri."
"evt-harbor-quest-trex-complete-report","Sono stato avvicinato da un cacciatore che mi raccontò di leggende riguardo ad una lucertola gigante che vaga nella natura selvaggia dove eravamo diretti. Egli richiese che se dovessimo incontrare la suddetta creatura, gli porteremmo uno dei suoi enormi denti."
"evt-trex-hunt-quest","Sono stato avvicinato da un cacciatore che mi raccontò di leggende riguardo ad una lucertola gigante che vaga nella natura selvaggia dove eravamo diretti. Egli richiese che se dovessimo incontrare la suddetta creatura, gli porteremmo uno dei suoi enormi denti."
"evt-trex-hunt-accept","Ho accettato, anche se il mio cuore era diffidente nel coinvolgere un così spaventoso avversario"
"evt-trex-hunt-refuse","Pensavo fosse più saggio non mettere alla prova la nostra forza con un nemico di tale statura. Il cacciatore se ne andò con uno sguardo deluso sul suo viso"
"trex-mod-desc","Questa modalità aggiunge il t-rex e una relativa catena di missioni al gioco."
