"emy-trex-name","Tiranossauro Rex"
"it-trexTooth-name","Dente de T-rex"
"it-trexTooth","Um dente de Tiranossauro. Muito valioso."
"zn-trex-name","Tiranossauro"
"evt-harbor-quest-trex-fail","$name partiu [com raiva|em fúria|irritadamente]. Mais tarde, descobrimos que [$ele vinha falando aos colegas|$ele havia reclamado sonoramente naquela noite|$ele foi ouvido gritando pela noite] sobre nossa incompetência e falta de confiabilidade. Nossa reputação não se recuperaria logo."
"evt-harbor-quest-trex-fail-action","Não dar um dente"
"evt-harbor-quest-trex-complete-action","Entregar"
"evt-harbor-quest-trex-complete","Durante nossos preparativos, o caçador que nos abordou sobre o lagarto gigante antes de nossa última viagem estava acenando para mim das docas. Ele perguntou se havíamos conseguido obter provas e se estávamos dispostos a apresentá-las."
"evt-harbor-quest-trex-complete-1","$name nos agradeceu [sem parar|ininterruptamente]. Como agradecimento, ele se ofereceu para financiar parte de nossa próxima expedição, o que aceitei com prazer."
"evt-harbor-quest-trex-complete-report","$name nos agradeceu [sem parar|ininterruptamente]. Como agradecimento, ele se ofereceu para financiar parte de nossa próxima expedição, o que aceitei com prazer."
"evt-trex-hunt-quest","Fui abordado por um caçador que falou sobre as lendas de um lagarto gigante que vagueia pelas selvas para as quais nos dirigíamos. Ele perguntou se, caso encontrássemos a criatura, não poderíamos lhe trazer um de seus enormes dentes."
"evt-trex-hunt-accept","Eu aceitei, embora meu coração estivesse temeroso em enfrentar um oponente tão temível"
"evt-trex-hunt-refuse","Achei mais sensato não testar nossa força contra um inimigo tão poderoso. O caçador partiu com uma expressão desapontada"
"trex-mod-desc","Este mod adiciona o Tiranossauro e uma série de missões ao jogo."
